trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.995}",20,0,-133.5117098211658,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.990025}",30,5,-182.1471523089316,"{0: 10, 1: 8, 2: 4, 3: 0, 4: 3}",1
3,False,"{'a': 0.1, 'e': 0.985074875}",20,0,-107.94287056462781,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.1, 'e': 0.9801495006250001}",20,0,-44.80039703560133,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.1, 'e': 0.9752487531218751}",20,0,-142.83363403258713,"{0: 10, 1: 0, 2: 7, 3: 2, 4: 1}",0
6,False,"{'a': 0.1, 'e': 0.9703725093562657}",30,0,-196.5817421390678,"{0: 18, 1: 4, 2: 4, 3: 0, 4: 4}",0
7,False,"{'a': 0.1, 'e': 0.9655206468094844}",25,15,-35.96674355818735,"{0: 7, 1: 1, 2: 0, 3: 2, 4: 0}",1
8,False,"{'a': 0.1, 'e': 0.960693043575437}",30,0,-118.95453422363248,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",0
9,False,"{'a': 0.1, 'e': 0.9558895783575597}",25,3,-151.88766091295952,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 2}",1
10,False,"{'a': 0.1, 'e': 0.9511101304657719}",20,0,-101.02222488659005,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.946354579813443}",20,0,-111.69326053142753,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.1, 'e': 0.9416228069143757}",30,0,-147.51946763321644,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
13,False,"{'a': 0.1, 'e': 0.9369146928798039}",30,0,-104.4959201733024,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.1, 'e': 0.9322301194154049}",20,0,-80.76888438099034,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.1, 'e': 0.9275689688183278}",20,0,-101.66150149592528,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.1, 'e': 0.9229311239742362}",25,0,-112.91831148107529,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.1, 'e': 0.918316468354365}",25,19,4.173768273423777,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.1, 'e': 0.9137248860125932}",20,0,-69.57233754109889,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
