trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.22564020517208,"{0: 12, 1: 2, 2: 8, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,0,-140.41168249431752,"{0: 20, 1: 6, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-152.13827455606418,"{0: 13, 1: 6, 2: 10, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.06321720332448,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-157.4046437317378,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-178.3007593763552,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.84187707503892,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.24576830850415,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-212.41389243249097,"{0: 13, 1: 2, 2: 12, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-182.75183508479896,"{0: 11, 1: 3, 2: 6, 3: 4, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.89521767441454,"{0: 12, 1: 1, 2: 10, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.878968708655755,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-172.15845587925827,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.9433961197575,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-127.47878705287164,"{0: 18, 1: 6, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.31677629877652,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.2548361276371,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-171.55313452157793,"{0: 10, 1: 5, 2: 8, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-49.23530484574156,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-194.70779294702166,"{0: 14, 1: 7, 2: 5, 3: 2, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-138.05182475623337,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-83.4575811260448,"{0: 13, 1: 5, 2: 7, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-91.85831463321257,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-96.03613516959031,"{0: 8, 1: 4, 2: 7, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.44485111303308,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-71.80225123683698,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-99.1643136697368,"{0: 12, 1: 6, 2: 6, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-162.074546999461,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.60966606863585,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-200.0576695816581,"{0: 9, 1: 3, 2: 3, 3: 2, 4: 3}",0
